-370.000000 400.000000 -330.000000, -358.000000 235.000000 -165.000000, -137.000000 364.000000 -719.000000, -239.000000 135.000000 -698.000000, -10.000000 -236.000000 563.000000, -519.000000 210.000000 -380.000000, 206.000000 -115.000000 -673.000000, -337.000000 181.000000 -707.000000, 128.000000 -239.000000 653.000000, -29.000000 -6.000000 649.000000, 
-416.047241 265.168243 -356.506775, -480.948700 266.707672 -211.746765, -153.053391 346.672699 -594.824097, -151.569260 195.896683 -592.138062, -25.136841 -158.694916 620.115845, -568.302368 268.902466 -341.057068, 221.815384 -94.206711 -533.435547, -288.802979 269.567444 -600.332153, 125.882057 -158.222809 620.073242, 49.389275 -22.081112 620.037720, 
-415.973511 265.004578 -356.155182, -481.337433 266.783478 -211.714783, -152.927963 346.621582 -594.900635, -151.676285 195.813507 -592.267395, -25.222357 -158.444229 620.225830, -568.212097 268.934021 -341.425598, 221.815353 -94.206703 -533.435547, -288.799377 269.756226 -600.097351, 125.773010 -158.470886 619.962158, 49.684765 -22.056837 620.037292, 
-415.891388 264.926910 -355.870514, -481.661072 266.831665 -211.689362, -152.818298 346.574677 -594.967529, -151.803848 195.738220 -592.402588, -25.245520 -158.285645 620.248291, -568.128113 268.952362 -341.720459, 221.815338 -94.206711 -533.435608, -288.813812 269.916351 -599.891602, 125.746376 -158.656296 619.937561, 49.950359 -22.062649 620.038391, 
-415.824768 264.852722 -355.648743, -481.955231 266.841858 -211.686264, -152.685501 346.520508 -595.059448, -151.903961 195.688812 -592.503174, -25.342028 -158.091370 620.340271, -568.039368 268.994537 -342.017853, 221.815353 -94.206711 -533.435608, -288.828339 270.091980 -599.692261, 125.656471 -158.827179 619.818115, 50.154640 -22.056143 620.059631, 
-415.785339 264.822540 -355.423889, -482.240326 266.844360 -211.687897, -152.565781 346.449921 -595.119324, -152.018631 195.651733 -592.626343, -25.473171 -157.920135 620.458313, -567.969604 269.014038 -342.305634, 221.815353 -94.206711 -533.435608, -288.877228 270.235779 -599.492432, 125.512383 -158.977814 619.763611, 50.344410 -22.039238 620.005066, 
-415.760010 264.767700 -355.229309, -482.470856 266.871063 -211.682541, -152.484955 346.406830 -595.198853, -152.098694 195.610489 -592.729065, -25.564547 -157.754028 620.516174, -567.915649 269.027832 -342.516113, 221.815353 -94.206718 -533.435608, -288.904480 270.357758 -599.292542, 125.418953 -159.114883 619.762512, 50.573833 -22.026472 619.956665, 
-415.722351 264.713776 -355.057434, -482.727570 266.890076 -211.699402, -152.427109 346.373779 -595.290161, -152.159073 195.591187 -592.812561, -25.648666 -157.592743 620.526733, -567.859924 269.054047 -342.773499, 221.815353 -94.206711 -533.435608, -288.934143 270.452179 -599.113281, 125.342682 -159.249603 619.774475, 50.752735 -22.022491 619.937622, 
-415.694916 264.666748 -354.904358, -482.968475 266.896057 -211.705292, -152.346130 346.348969 -595.393982, -152.227783 195.565308 -592.901733, -25.717474 -157.465637 620.543457, -567.816406 269.091522 -342.996216, 221.815353 -94.206703 -533.435608, -288.945160 270.560211 -598.929382, 125.266151 -159.389389 619.804077, 50.912609 -22.025591 619.898682, 
-415.659058 264.627869 -354.779144, -483.146179 266.894958 -211.703552, -152.283508 346.311829 -595.458435, -152.259674 195.541580 -592.938782, -25.773914 -157.361404 620.573914, -567.758240 269.132935 -343.174713, 221.815353 -94.206718 -533.435608, -288.950806 270.617065 -598.824646, 125.201317 -159.520615 619.828430, 51.058174 -22.034916 619.852722, 
-415.620392 264.612396 -354.669983, -483.304321 266.911560 -211.703491, -152.234024 346.289490 -595.512329, -152.293671 195.517761 -592.956421, -25.826845 -157.275299 620.586426, -567.722595 269.128662 -343.316101, 221.815353 -94.206711 -533.435669, -288.947723 270.668213 -598.755981, 125.148842 -159.622833 619.857117, 51.178429 -22.045576 619.818359, 
