-184.497299 155.314102 464.655182, -372.691071 438.711029 -225.227814, -244.539001 490.110504 -125.380348, -371.380341 588.615417 -181.887405, -519.012634 -6.173396 21.881012, 459.749176 66.363678 -320.685486, -183.737839 156.375504 605.169617, 460.655304 143.612686 -456.502625, 459.417389 217.061829 -318.697876, -239.526077 533.655090 -274.837097, 
-184.515762 155.338364 464.652832, -372.693726 438.500092 -224.360748, -244.023468 490.735382 -125.526512, -371.491730 588.606689 -182.115250, -519.012695 -6.173396 21.881012, 459.927307 66.348625 -320.697998, -183.719391 156.351257 605.167480, 460.250366 143.631561 -456.493896, 459.723114 217.049011 -318.655243, -239.858948 533.352417 -275.184479, 
-184.529800 155.348785 464.652802, -372.724548 438.332703 -223.574539, -243.592117 491.384705 -125.659714, -371.564453 588.627380 -182.396622, -519.012634 -6.173396 21.881012, 460.060974 66.337646 -320.708923, -183.705414 156.340851 605.167480, 459.970947 143.635956 -456.506622, 459.923584 217.023087 -318.645172, -240.102356 532.953003 -275.528656, 
-184.535324 155.354950 464.656219, -372.774231 438.164337 -222.856201, -243.278763 491.956482 -125.756790, -371.611847 588.656250 -182.704742, -519.012634 -6.173396 21.881012, 460.168365 66.334702 -320.699982, -183.699875 156.334732 605.170837, 459.752808 143.622986 -456.497253, 460.076996 217.022812 -318.635834, -240.291565 532.519104 -275.833710, 
-184.538284 155.358734 464.655090, -372.840973 438.057800 -222.215958, -243.026886 492.551849 -125.823112, -371.647858 588.715454 -183.054443, -519.012573 -6.173396 21.881012, 460.252869 66.345634 -320.676361, -183.696930 156.330917 605.169678, 459.590088 143.593124 -456.501221, 460.187012 217.026321 -318.655365, -240.418274 532.009033 -276.125671, 
-184.540649 155.359924 464.653351, -372.897461 437.934296 -221.576584, -242.829590 493.056763 -125.842171, -371.698669 588.782715 -183.460815, -519.012634 -6.173396 21.881012, 460.303986 66.352318 -320.656921, -183.694565 156.329758 605.168091, 459.490631 143.570984 -456.499481, 460.254852 217.031525 -318.668427, -240.531174 531.580017 -276.323822, 
-184.541489 155.360535 464.653931, -372.960663 437.817566 -221.003448, -242.669006 493.556000 -125.837257, -371.767822 588.831726 -183.841370, -519.012573 -6.173396 21.881012, 460.332825 66.360596 -320.646301, -183.693726 156.329102 605.168579, 459.424164 143.553558 -456.504242, 460.305481 217.036499 -318.684082, -240.597885 531.126343 -276.456177, 
-184.541519 155.360535 464.653900, -373.018066 437.741669 -220.495026, -242.548477 494.005798 -125.791626, -371.792847 588.893372 -184.244003, -519.012634 -6.173396 21.881012, 460.348663 66.368340 -320.633270, -183.693710 156.329102 605.168579, 459.383667 143.545288 -456.505737, 460.338165 217.036560 -318.688507, -240.615387 530.678467 -276.569763, 
-184.541489 155.360565 464.653931, -373.116455 437.686920 -219.987167, -242.455627 494.445770 -125.748253, -371.828674 588.978699 -184.630112, -519.012573 -6.173396 21.881012, 460.366760 66.372131 -320.619904, -183.693710 156.329102 605.168640, 459.346985 143.533249 -456.508026, 460.363739 217.035553 -318.699463, -240.658112 530.239441 -276.662476, 
-184.541504 155.360580 464.653931, -373.127106 437.589417 -219.480637, -242.325012 494.879578 -125.725845, -371.901398 589.025635 -184.997849, -519.012634 -6.173396 21.881012, 460.384064 66.373726 -320.611908, -183.693710 156.329102 605.168640, 459.324799 143.525101 -456.506775, 460.372986 217.037903 -318.705658, -240.713531 529.892273 -276.757751, 
-184.541489 155.360535 464.653931, -373.130310 437.498199 -219.009308, -242.201324 495.335510 -125.705917, -371.970062 589.068970 -185.334549, -519.012756 -6.173396 21.881012, 460.399719 66.376709 -320.611328, -183.693710 156.329086 605.168518, 459.308472 143.522385 -456.508911, 460.376801 217.039169 -318.708801, -240.760727 529.533203 -276.856903, 
-184.541489 155.360550 464.653961, -373.161865 437.422760 -218.574738, -242.084732 495.745361 -125.701828, -372.011993 589.095947 -185.657303, -519.012573 -6.173396 21.881012, 460.412628 66.380569 -320.611786, -183.693710 156.329086 605.168640, 459.296021 143.518555 -456.511566, 460.378632 217.042908 -318.713959, -240.788757 529.178223 -276.958984, 
-184.541489 155.360550 464.653931, -373.177368 437.363251 -218.193573, -242.001999 496.090820 -125.672722, -372.041351 589.130310 -185.948181, -519.012756 -6.173396 21.881012, 460.423798 66.383667 -320.610657, -183.693695 156.329102 605.168640, 459.285004 143.514252 -456.513153, 460.380463 217.045898 -318.718445, -240.809738 528.868103 -277.039886, 
-184.541473 155.360550 464.653900, -373.180450 437.299652 -217.824722, -241.941849 496.480530 -125.643715, -372.109772 589.174255 -186.244598, -519.012695 -6.173396 21.881012, 460.430786 66.386406 -320.606720, -183.693695 156.329102 605.168640, 459.276123 143.509781 -456.515045, 460.384064 217.045670 -318.721985, -240.850052 528.571716 -277.119263, 
-184.541458 155.360550 464.653900, -373.205750 437.232330 -217.511124, -241.908035 496.820404 -125.608276, -372.169281 589.198669 -186.551682, -519.012573 -6.173396 21.881012, 460.442291 66.392334 -320.600800, -183.693710 156.329132 605.168579, 459.269958 143.505920 -456.514954, 460.379883 217.052017 -318.727966, -240.865982 528.289795 -277.168060, 
-184.541489 155.360550 464.653870, -373.220367 437.193298 -217.193527, -241.897552 497.109863 -125.574890, -372.213898 589.250488 -186.831665, -519.012634 -6.173396 21.881012, 460.448425 66.396400 -320.596649, -183.693710 156.329086 605.168640, 459.267059 143.497299 -456.517029, 460.376923 217.056458 -318.736786, -240.856781 528.027405 -277.214478, 
-184.541489 155.360535 464.653900, -373.222168 437.135284 -216.892944, -241.870819 497.421539 -125.535812, -372.246277 589.282532 -187.143646, -519.012695 -6.173396 21.881012, 460.458069 66.398567 -320.594696, -183.693726 156.329086 605.168640, 459.263794 143.493927 -456.517303, 460.371277 217.059280 -318.740143, -240.826035 527.755432 -277.250336, 
