-724.780396 -447.234955 -420.130646, 183.030563 577.777466 -701.335693, 180.453201 730.232910 -683.661987, -584.152710 -445.173492 -422.557098, 316.491302 644.545593 -618.985718, 496.937683 -500.897522 384.148621, -103.610298 -349.232422 128.382843, -243.956009 -346.730103 127.680046, 312.600800 664.638428 -771.747620, 638.109375 -501.663025 380.411163, 
-724.791260 -447.246735 -420.130829, 183.114777 577.672363 -700.814087, 180.299469 730.235046 -684.184570, -584.164307 -445.161682 -422.556519, 316.512054 645.080200 -618.957031, 496.939453 -500.828125 384.204865, -103.592827 -349.214844 128.296066, -243.939835 -346.748779 127.769196, 312.688568 664.322510 -771.697388, 638.107727 -501.731598 380.355560, 
-724.791260 -447.246735 -420.130829, 183.264862 577.499573 -700.388123, 180.119537 730.230164 -684.742737, -584.164246 -445.161682 -422.556519, 316.455475 645.605103 -618.829590, 496.957581 -500.786896 384.235565, -103.569794 -349.187927 128.210999, -243.917984 -346.777130 127.856552, 312.687469 664.020569 -771.646057, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.372162 577.371643 -699.993591, 180.066208 730.217773 -685.303162, -584.164307 -445.161682 -422.556519, 316.459930 646.053345 -618.763062, 496.957581 -500.786896 384.235565, -103.536316 -349.188110 128.148590, -243.884125 -346.778107 127.920609, 312.796814 663.674500 -771.612671, 638.123535 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.447983 577.231934 -699.621216, 179.994965 730.227295 -685.912415, -584.164307 -445.161682 -422.556519, 316.329529 646.451050 -618.627075, 496.957581 -500.786896 384.235565, -103.519211 -349.167664 128.101501, -243.867569 -346.799622 127.968857, 312.920898 663.385742 -771.524231, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.516312 577.126099 -699.244629, 179.893280 730.180969 -686.415344, -584.164307 -445.161682 -422.556519, 316.229095 646.875671 -618.478821, 496.957581 -500.786896 384.235565, -103.513245 -349.149109 128.025558, -243.862320 -346.818787 128.046616, 313.034454 663.043152 -771.449036, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.628143 577.020325 -698.907104, 179.815033 730.070435 -686.864563, -584.164246 -445.161682 -422.556519, 316.273285 647.292297 -618.456421, 496.957581 -500.786896 384.235565, -103.512848 -349.128082 127.926735, -243.862732 -346.840332 128.147705, 313.146118 662.769592 -771.461121, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.718262 576.934143 -698.542358, 179.702560 730.014893 -687.369141, -584.164307 -445.161682 -422.556519, 316.240753 647.620361 -618.390320, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191818, 313.220245 662.552124 -771.433899, 638.123413 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.754517 576.916077 -698.288025, 179.663651 730.036438 -687.775635, -584.164307 -445.161682 -422.556519, 316.178406 647.877625 -618.316345, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.324585 662.345581 -771.382996, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.762299 576.945129 -698.088989, 179.621918 730.090576 -688.071289, -584.164246 -445.161682 -422.556519, 316.141418 648.034180 -618.257080, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.371063 662.192383 -771.331787, 638.123474 -501.772583 380.324310, 
