-698.068542 -510.069336 70.130989, -636.488159 -354.940979 -49.007668, -608.210938 -366.268188 94.883423, -261.161194 -534.898010 540.940430, -729.168457 -674.547302 -44.829933, -452.220917 508.794922 694.536743, -549.014099 -503.962982 0.010897, -580.256897 -637.494873 -108.112648, -698.357605 -514.704895 -83.837425, -601.623291 -664.858704 46.285225, 
-697.992310 -509.964569 70.192818, -636.001709 -354.959869 -49.318394, -608.596741 -365.924805 94.694878, -261.161194 -534.898071 540.940491, -729.204590 -674.482483 -44.766911, -452.220917 508.794922 694.536804, -548.950928 -503.923859 0.489773, -580.264099 -636.917847 -108.189690, -698.510681 -514.530884 -83.684288, -601.615479 -664.997009 46.121136, 
-697.963989 -509.967438 70.233467, -635.736755 -354.964233 -49.437939, -608.886902 -365.779877 94.760300, -261.161255 -534.898071 540.940491, -729.206360 -674.434631 -44.699638, -452.220917 508.794922 694.536743, -548.924194 -503.814026 0.862053, -580.164734 -636.412170 -108.189415, -698.549255 -514.428467 -83.537422, -601.517212 -665.097473 45.945446, 
-697.950195 -509.959503 70.255760, -635.465759 -354.944122 -49.498829, -609.090942 -365.664978 94.798515, -261.161194 -534.898071 540.940430, -729.240112 -674.450928 -44.650387, -452.220917 508.794922 694.536743, -548.848999 -503.765564 1.152566, -580.112427 -636.195129 -108.170776, -698.435242 -514.371826 -83.427040, -601.491211 -665.164795 45.789608, 
-698.077637 -509.950989 70.219398, -635.197998 -354.964478 -49.547070, -609.193237 -365.594269 94.771957, -261.161194 -534.898010 540.940491, -729.233826 -674.392456 -44.698250, -452.220917 508.794922 694.536682, -548.858521 -503.799896 1.398585, -580.125244 -635.906860 -108.229263, -698.432129 -514.234253 -83.353325, -601.442688 -665.310425 45.657791, 
-698.117615 -509.879211 70.212982, -634.867432 -355.008698 -49.550537, -609.283081 -365.554962 94.814674, -261.161194 -534.898010 540.940430, -729.227722 -674.349731 -44.714520, -452.220917 508.794922 694.536804, -548.848328 -503.878662 1.587294, -580.048828 -635.747559 -108.257133, -698.426147 -514.192932 -83.299004, -601.476196 -665.382507 45.635468, 
-698.129822 -509.861206 70.206619, -634.648376 -355.043152 -49.597858, -609.403320 -365.481903 94.815567, -261.161194 -534.898010 540.940491, -729.209778 -674.339417 -44.754879, -452.220917 508.794922 694.536743, -548.876831 -503.957733 1.874771, -579.962891 -635.560364 -108.294258, -698.419495 -514.152527 -83.295753, -601.509216 -665.591736 45.476151, 
-698.153870 -509.859894 70.196251, -634.461365 -355.067902 -49.691200, -609.505920 -365.333557 94.766342, -261.161194 -534.898010 540.940491, -729.216248 -674.328064 -44.805286, -452.220917 508.794922 694.536743, -548.917786 -504.068756 2.240978, -579.851990 -635.315369 -108.314598, -698.426758 -514.144165 -83.278885, -601.645691 -665.823059 45.303486, 
-698.259277 -509.883881 70.187431, -634.143982 -355.162415 -49.866711, -609.904968 -365.161804 94.662491, -261.161194 -534.898010 540.940430, -729.287720 -674.292175 -44.873425, -452.220917 508.794922 694.536804, -548.879822 -504.109528 2.649475, -579.864319 -635.164978 -108.309669, -698.371887 -514.095520 -83.284271, -601.796387 -666.053833 45.134735, 
-698.346008 -509.952728 70.150299, -633.776062 -355.206512 -50.042576, -610.345032 -365.049042 94.589645, -261.161194 -534.898010 540.940430, -729.295166 -674.296387 -44.917751, -452.220917 508.794922 694.536682, -548.898315 -504.104950 3.101300, -579.802734 -634.949768 -108.261093, -698.364868 -514.031799 -83.279823, -601.897888 -666.172791 45.088326, 
-698.440430 -510.003723 70.148331, -633.521790 -355.230713 -50.163315, -610.627930 -365.028717 94.495102, -261.161194 -534.898071 540.940491, -729.236755 -674.299744 -44.979259, -452.220917 508.794922 694.536804, -548.929016 -504.161346 3.591739, -579.690552 -634.558472 -108.234177, -698.271790 -514.016846 -83.249931, -601.928284 -666.537170 44.907520, 
