-265.168121 -353.725220 258.092712, -266.769562 -356.396271 117.836502, 482.836639 636.927734 26.501884, 500.071167 -449.342957 464.029877, -713.869385 -268.000824 -211.953278, -710.226257 -321.551025 -66.528114, -661.341675 -174.259979 -62.930607, 483.802124 634.661194 -113.902496, -581.453064 -184.378357 -196.929474, -565.728943 -320.758789 -118.917984, 
-265.157379 -353.744110 258.092926, -266.780396 -356.377350 117.836258, 482.821991 636.945740 26.515577, 500.071198 -449.342987 464.029846, -714.515930 -267.277466 -211.570267, -710.176697 -321.205292 -66.282211, -659.873657 -174.358490 -62.525761, 483.816498 634.643738 -113.888115, -581.637146 -184.575104 -197.452255, -565.992126 -321.320343 -119.932205, 
-265.153473 -353.746338 258.095734, -266.784119 -356.375031 117.839066, 482.816650 636.962463 26.518085, 500.071198 -449.343048 464.029846, -715.095764 -266.436432 -211.191345, -710.111267 -320.948944 -66.142151, -658.544739 -174.488129 -62.115284, 483.821808 634.627136 -113.885002, -581.747314 -184.679459 -197.839081, -566.244019 -321.868805 -120.888664, 
-265.153503 -353.746338 258.095734, -266.784119 -356.375031 117.839066, 482.812408 636.970276 26.517925, 500.071198 -449.342957 464.029877, -715.636902 -265.594635 -210.848251, -710.163208 -320.802094 -66.050468, -657.370117 -174.630447 -61.796509, 483.825989 634.619263 -113.884842, -581.756226 -184.817200 -198.243378, -566.498657 -322.234375 -121.694206, 
-265.153503 -353.746338 258.095734, -266.784119 -356.375031 117.839066, 482.813019 636.980103 26.517763, 500.071106 -449.342957 464.029846, -716.069153 -264.812317 -210.554672, -710.156799 -320.654236 -66.006340, -656.103210 -174.828812 -61.455154, 483.825378 634.609497 -113.884689, -581.815063 -184.870728 -198.618011, -566.752563 -322.695007 -122.505463, 
-265.153473 -353.746338 258.095825, -266.784119 -356.374969 117.839066, 482.811920 636.986877 26.517643, 500.071167 -449.343048 464.029846, -716.498535 -264.064728 -210.241409, -710.123108 -320.575897 -65.989479, -655.007446 -175.011536 -61.111111, 483.826477 634.602844 -113.884567, -581.858093 -184.977509 -198.908279, -566.981201 -323.128998 -123.310364, 
-265.153534 -353.746338 258.095734, -266.784149 -356.375031 117.839066, 482.814148 637.001709 26.508961, 500.071167 -449.343048 464.029846, -716.993774 -263.210297 -209.974258, -710.053345 -320.395721 -65.942719, -653.938843 -175.189682 -60.787365, 483.824371 634.587708 -113.892731, -581.926636 -185.069336 -199.174118, -567.265076 -323.593353 -124.234474, 
-265.153503 -353.746338 258.095795, -266.784149 -356.375061 117.839066, 482.819763 637.018494 26.497454, 500.071167 -449.343048 464.029846, -717.430603 -262.470184 -209.700272, -710.013306 -320.297760 -65.866035, -652.911621 -175.429398 -60.470745, 483.818970 634.570618 -113.903694, -581.938477 -185.085495 -199.356140, -567.588867 -324.054504 -125.153664, 
-265.153503 -353.746307 258.095764, -266.784149 -356.375061 117.839066, 482.823547 637.032043 26.485991, 500.071198 -449.342987 464.029877, -717.782349 -261.756500 -209.515121, -710.021912 -320.221161 -65.918434, -652.072815 -175.646667 -60.205055, 483.815338 634.556885 -113.914696, -581.919434 -184.983322 -199.378830, -567.833252 -324.415802 -126.001289, 
-265.153534 -353.746338 258.095734, -266.784088 -356.375031 117.839066, 482.834229 637.043701 26.483046, 500.071198 -449.342957 464.029846, -718.200439 -261.164154 -209.246368, -710.012207 -320.096802 -65.944145, -651.346497 -175.854385 -59.922245, 483.804749 634.545044 -113.917366, -581.925781 -184.946075 -199.462280, -568.068176 -324.732788 -126.794197, 
-265.153503 -353.746338 258.095734, -266.784149 -356.375031 117.839066, 482.828949 637.049133 26.480101, 500.071167 -449.342987 464.029877, -718.513367 -260.661255 -209.043259, -710.068970 -320.058105 -65.899071, -650.729553 -176.026733 -59.732124, 483.810059 634.539612 -113.920036, -582.005005 -184.893295 -199.586685, -568.245178 -324.890961 -127.368973, 
-265.153503 -353.746338 258.095764, -266.784119 -356.375031 117.839066, 482.821014 637.056091 26.474291, 500.071198 -449.342957 464.029907, -718.751465 -260.233124 -208.909286, -710.071655 -319.946808 -65.846809, -650.277039 -176.121002 -59.604809, 483.818024 634.532410 -113.925461, -582.045288 -184.820618 -199.639557, -568.431458 -325.071167 -127.861603, 
-265.153564 -353.746338 258.095795, -266.784149 -356.374969 117.839066, 482.821075 637.056091 26.474291, 500.071198 -449.342987 464.029877, -718.862122 -259.966064 -208.815521, -710.039856 -319.850067 -65.796379, -649.843994 -176.231537 -59.527508, 483.818024 634.532410 -113.925461, -582.033875 -184.758530 -199.681412, -568.505554 -325.230042 -128.254272, 
-265.153442 -353.746338 258.095734, -266.784119 -356.374969 117.839066, 482.821014 637.056091 26.474291, 500.071167 -449.343048 464.029846, -718.952942 -259.728821 -208.718353, -710.017090 -319.748230 -65.740341, -649.469971 -176.305313 -59.445461, 483.818024 634.532349 -113.925461, -582.049377 -184.711746 -199.725998, -568.588867 -325.388794 -128.590698, 
-265.153503 -353.746307 258.095673, -266.784149 -356.374969 117.839066, 482.821014 637.056274 26.474291, 500.071198 -449.343048 464.029846, -719.074463 -259.504608 -208.604889, -710.014465 -319.636627 -65.719093, -649.099548 -176.319916 -59.370052, 483.818024 634.532349 -113.925461, -582.080383 -184.719177 -199.808289, -568.646606 -325.473999 -128.814590, 
-265.153564 -353.746338 258.095764, -266.784149 -356.375061 117.839066, 482.819397 637.060486 26.471388, 500.071167 -449.342987 464.029846, -719.176697 -259.289551 -208.520615, -709.964661 -319.550018 -65.700325, -648.833313 -176.344452 -59.318562, 483.819702 634.527893 -113.928169, -582.092407 -184.672226 -199.886246, -568.703003 -325.537354 -129.061050, 
-265.153503 -353.746338 258.095734, -266.784088 -356.375061 117.839066, 482.820648 637.066589 26.465660, 500.071198 -449.343048 464.029846, -719.243164 -259.174164 -208.463608, -709.912964 -319.486938 -65.668221, -648.580933 -176.408249 -59.278622, 483.818512 634.521729 -113.933678, -582.119934 -184.616425 -199.937408, -568.720520 -325.610291 -129.320679, 
-265.153503 -353.746338 258.095734, -266.784088 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.343048 464.029846, -719.340088 -259.025482 -208.380203, -709.846863 -319.461151 -65.648048, -648.329346 -176.472641 -59.242004, 483.819824 634.519348 -113.936432, -582.141785 -184.609207 -200.024673, -568.743774 -325.682648 -129.494827, 
-265.153473 -353.746338 258.095734, -266.784119 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.343048 464.029877, -719.410278 -258.902740 -208.286270, -709.797729 -319.447266 -65.641731, -648.141602 -176.518021 -59.187744, 483.819824 634.519348 -113.936432, -582.158142 -184.591537 -200.058594, -568.745483 -325.742249 -129.658188, 
-265.153503 -353.746338 258.095734, -266.784119 -356.375031 117.839066, 482.819336 637.068787 26.462795, 500.071167 -449.343048 464.029846, -719.468750 -258.794739 -208.226959, -709.743713 -319.436920 -65.620529, -648.046326 -176.560654 -59.134617, 483.819824 634.519409 -113.936432, -582.163513 -184.576080 -200.060318, -568.757812 -325.784760 -129.807755, 
-265.153503 -353.746338 258.095734, -266.784149 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.343048 464.029907, -719.520447 -258.663239 -208.144516, -709.694519 -319.434967 -65.556496, -647.910522 -176.596985 -59.047474, 483.819824 634.519287 -113.936432, -582.194336 -184.522141 -200.052368, -568.781616 -325.793610 -129.941437, 
-265.153503 -353.746338 258.095734, -266.784119 -356.375061 117.839066, 482.819366 637.068665 26.462795, 500.071167 -449.342987 464.029846, -719.563477 -258.539337 -208.091965, -709.643127 -319.418396 -65.525490, -647.772644 -176.637604 -58.969360, 483.819824 634.519348 -113.936432, -582.225891 -184.521194 -200.069717, -568.783203 -325.825104 -130.075180, 
-265.153503 -353.746338 258.095734, -266.784088 -356.375031 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.342987 464.029877, -719.621033 -258.459167 -208.023712, -709.616211 -319.413361 -65.505379, -647.646057 -176.682800 -58.916397, 483.819824 634.519409 -113.936432, -582.250244 -184.476807 -200.050369, -568.789246 -325.860229 -130.217010, 
